Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7n,C_0603_1608Metric,-248.1,-32.8,180,bottom
C2,22pF,C_0603_1608Metric,-249.8,-56.6,-90,bottom
C3,1uF,C_0603_1608Metric,-243.1,-64,180,bottom
C4,22pF,C_0603_1608Metric,-256.6,-58.9,180,bottom
C5,0.1uF,C_0603_1608Metric,-245.8,-61.3,180,bottom
C6,0.1uF,C_0603_1608Metric,-248.9,-59.5,180,bottom
C7,10uF,C_0603_1608Metric,-258.8,-60.5,45,bottom
D1,D_Small,D_SOD-123,-40.5,-38.8913,90,bottom
D2,D_Small,D_SOD-123,-59.2,-38.8913,90,bottom
D3,D_Small,D_SOD-123,-77.8,-38.8913,90,bottom
D4,D_Small,D_SOD-123,-96.5,-38.8913,90,bottom
D5,D_Small,D_SOD-123,-115.2,-38.8913,90,bottom
D6,D_Small,D_SOD-123,-133.8,-38.8913,90,bottom
D7,D_Small,D_SOD-123,-152.5,-38.8913,90,bottom
D8,D_Small,D_SOD-123,-171.2,-38.8913,90,bottom
D9,D_Small,D_SOD-123,-189.9,-38.8913,90,bottom
D10,D_Small,D_SOD-123,-208.6,-38.8913,90,bottom
D11,D_Small,D_SOD-123,-227.2,-38.8913,90,bottom
D12,D_Small,D_SOD-123,-243.5,-42.8598,90,bottom
D13,D_Small,D_SOD-123,-264.6,-38.8913,90,bottom
D14,D_Small,D_SOD-123,-40.5,-57.9401,90,bottom
D15,D_Small,D_SOD-123,-59.1,-57.9401,90,bottom
D16,D_Small,D_SOD-123,-77.8,-57.9401,90,bottom
D17,D_Small,D_SOD-123,-96.5,-57.9401,90,bottom
D18,D_Small,D_SOD-123,-115.2,-57.9401,90,bottom
D19,D_Small,D_SOD-123,-133.8,-57.9401,90,bottom
D20,D_Small,D_SOD-123,-152.5,-57.9401,90,bottom
D21,D_Small,D_SOD-123,-171.2,-57.9401,90,bottom
D22,D_Small,D_SOD-123,-189.9,-57.9401,90,bottom
D23,D_Small,D_SOD-123,-208.6,-57.9401,90,bottom
D24,D_Small,D_SOD-123,-227.3,-57.9401,90,bottom
D25,D_Small,D_SOD-123,-245.9,-57.9401,90,bottom
D26,D_Small,D_SOD-123,-264.6,-57.9401,90,bottom
D27,D_Small,D_SOD-123,-40.5,-76.9889,90,bottom
D28,D_Small,D_SOD-123,-59.1,-76.9889,90,bottom
D29,D_Small,D_SOD-123,-77.8,-76.9889,90,bottom
D30,D_Small,D_SOD-123,-96.5,-76.9889,90,bottom
D31,D_Small,D_SOD-123,-115.2,-76.9889,90,bottom
D32,D_Small,D_SOD-123,-133.9,-76.9889,90,bottom
D33,D_Small,D_SOD-123,-152.5,-76.9889,90,bottom
D34,D_Small,D_SOD-123,-171.2,-76.9889,90,bottom
D35,D_Small,D_SOD-123,-189.9,-76.9889,90,bottom
D36,D_Small,D_SOD-123,-208.6,-76.9889,90,bottom
D37,D_Small,D_SOD-123,-227.3,-76.9889,90,bottom
D38,D_Small,D_SOD-123,-246,-76.9889,90,bottom
D39,D_Small,D_SOD-123,-264.6,-76.9889,90,bottom
D40,D_Small,D_SOD-123,-40.5,-96.0377,90,bottom
D41,D_Small,D_SOD-123,-59.1,-96.0377,90,bottom
D42,D_Small,D_SOD-123,-77.8,-96.0377,90,bottom
D43,D_Small,D_SOD-123,-96.5,-96.0377,90,bottom
D44,D_Small,D_SOD-123,-121.2,-100.0062,90,bottom
D45,D_Small,D_SOD-123,-133.9,-96.0377,90,bottom
D46,D_Small,D_SOD-123,-152.5,-96.0377,90,bottom
D47,D_Small,D_SOD-123,-170.9,-98.4188,90,bottom
D48,D_Small,D_SOD-123,-189.9,-96.0377,90,bottom
D49,D_Small,D_SOD-123,-198,-96.0377,90,bottom
D50,D_Small,D_SOD-123,-227.2,-96.0377,90,bottom
D51,D_Small,D_SOD-123,-245.9,-96.0377,90,bottom
D52,D_Small,D_SOD-123,-264.6,-96.0377,90,bottom
F1,500mA,Fuse_1206_3216Metric,-252.2,-38.1,90,bottom
R1,10k,R_0603_1608Metric,-242.9,-68.9,0,bottom
R2,22,R_0603_1608Metric,-232.4,-43.9,90,bottom
R3,22,R_0603_1608Metric,-234.6,-43.9,90,bottom
R4,10k,R_0603_1608Metric,-260.3,-71.2,180,bottom
R5,5k1,R_0603_1608Metric,-234,-30.8,180,bottom
R6,5k1,R_0603_1608Metric,-248.1,-30.8,0,bottom
R7,1M,R_0603_1608Metric,-234,-32.8,180,bottom
SW1,SW_Push,PinHeader_1x02_P2.54mm_Vertical,-32.3,-80,180,bottom
U1,ATmega32U2-A,TQFP-32_7x7mm_P0.8mm,-252.2,-66.675,-135,bottom
U2,PRTR5V0U2X,SOT-143,-233.5,-39.4,0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,-241.118,-26.0775,0,bottom
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,-252.9,-57,0,bottom
MX1,MX-NoLED,MXOnly-1U-NoLED,37.36,-38.1,0,top
MX2,MX-NoLED,MXOnly-1U-NoLED,56.04,-38.1,0,top
MX3,MX-NoLED,MXOnly-1U-NoLED,74.72,-38.1,0,top
MX4,MX-NoLED,MXOnly-1U-NoLED,93.4,-38.1,0,top
MX5,MX-NoLED,MXOnly-1U-NoLED,112.08,-38.1,0,top
MX6,MX-NoLED,MXOnly-1U-NoLED,130.76,-38.1,0,top
MX7,MX-NoLED,MXOnly-1U-NoLED,149.44,-38.1,0,top
MX8,MX-NoLED,MXOnly-1U-NoLED,168.12,-38.1,0,top
MX9,MX-NoLED,MXOnly-1U-NoLED,186.8,-38.1,0,top
MX10,MX-NoLED,MXOnly-1U-NoLED,205.48,-38.1,0,top
MX11,MX-NoLED,MXOnly-1U-NoLED,224.16,-38.1,0,top
MX12,MX-NoLED,MXOnly-1U-NoLED,242.84,-38.1,180,top
MX13,MX-NoLED,MXOnly-1U-NoLED,261.52,-38.1,0,top
MX14,MX-NoLED,MXOnly-1U-NoLED,37.36,-57.15,0,top
MX15,MX-NoLED,MXOnly-1U-NoLED,56.04,-57.15,0,top
MX16,MX-NoLED,MXOnly-1U-NoLED,74.72,-57.15,0,top
MX17,MX-NoLED,MXOnly-1U-NoLED,93.4,-57.15,0,top
MX18,MX-NoLED,MXOnly-1U-NoLED,112.08,-57.15,0,top
MX19,MX-NoLED,MXOnly-1U-NoLED,130.76,-57.15,0,top
MX20,MX-NoLED,MXOnly-1U-NoLED,149.44,-57.15,0,top
MX21,MX-NoLED,MXOnly-1U-NoLED,168.12,-57.15,0,top
MX22,MX-NoLED,MXOnly-1U-NoLED,186.8,-57.15,0,top
MX23,MX-NoLED,MXOnly-1U-NoLED,205.48,-57.15,0,top
MX24,MX-NoLED,MXOnly-1U-NoLED,224.16,-57.15,0,top
MX25,MX-NoLED,MXOnly-1U-NoLED,242.84,-57.15,0,top
MX26,MX-NoLED,MXOnly-1U-NoLED,261.52,-57.15,0,top
MX27,MX-NoLED,MXOnly-1U-NoLED,37.36,-76.2,0,top
MX28,MX-NoLED,MXOnly-1U-NoLED,56.04,-76.2,0,top
MX29,MX-NoLED,MXOnly-1U-NoLED,74.72,-76.2,0,top
MX30,MX-NoLED,MXOnly-1U-NoLED,93.4,-76.2,0,top
MX31,MX-NoLED,MXOnly-1U-NoLED,112.08,-76.2,0,top
MX32,MX-NoLED,MXOnly-1U-NoLED,130.76,-76.2,0,top
MX33,MX-NoLED,MXOnly-1U-NoLED,149.44,-76.2,0,top
MX34,MX-NoLED,MXOnly-1U-NoLED,168.12,-76.2,0,top
MX35,MX-NoLED,MXOnly-1U-NoLED,186.8,-76.2,0,top
MX36,MX-NoLED,MXOnly-1U-NoLED,205.48,-76.2,0,top
MX37,MX-NoLED,MXOnly-1U-NoLED,224.16,-76.2,0,top
MX38,MX-NoLED,MXOnly-1U-NoLED,242.84,-76.2,0,top
MX39,MX-NoLED,MXOnly-1U-NoLED,261.52,-76.2,0,top
MX40,MX-NoLED,MXOnly-1U-NoLED,37.36,-95.25,0,top
MX41,MX-NoLED,MXOnly-1U-NoLED,56.04,-95.25,0,top
MX42,MX-NoLED,MXOnly-1U-NoLED,74.72,-95.25,0,top
MX43,MX-NoLED,MXOnly-1U-NoLED,93.4,-95.25,0,top
MX44,MX-NoLED,MXOnly-1U-NoLED,112.08,-95.25,-90,top
MX45,MX-NoLED,MXOnly-1U-NoLED,130.76,-95.25,0,top
MX46,MX-NoLED,MXOnly-1U-NoLED,149.44,-95.25,0,top
MX47,MX-NoLED,MXOnly-1U-NoLED,168.12,-95.25,0,top
MX48,MX-NoLED,MXOnly-1U-NoLED,186.8,-95.25,0,top
MX49,MX-NoLED,MXOnly-1U-NoLED,205.48,-95.25,90,top
MX50,MX-NoLED,MXOnly-1U-NoLED,224.16,-95.25,0,top
MX51,MX-NoLED,MXOnly-1U-NoLED,242.84,-95.25,0,top
MX52,MX-NoLED,MXOnly-1U-NoLED,261.52,-95.25,0,top
MX53,MX-NoLED,MXOnly-2U-ReversedStabilizers-NoLED,121.42,-95.244,0,top
MX54,MX-NoLED,MXOnly-3U-ReversedStabilizers-NoLED,112.08,-95.25,0,top
MX55,MX-NoLED,MXOnly-7U-ReversedStabilizers-NoLED,149.44,-95.25,0,top
MX56,MX-NoLED,MXOnly-3U-ReversedStabilizers-NoLED,149.44,-95.25,0,top
MX57,MX-NoLED,MXOnly-2U-ReversedStabilizers-NoLED,177.46,-95.244,0,top
MX58,MX-NoLED,MXOnly-3U-ReversedStabilizers-NoLED,186.8,-95.25,0,top
SW2,RotaryEncoder_Switch,RotaryEncoder_EC11-no-legs,149.44,-76.2,90,top
